Geneid	length	RAM-uhg4-208G-M-2_S16_L001_sorted.bam	RAM-uhg4-208wt-F-2_S2_L001_sorted.bam	RAM-uhg4-208A-F-1_S5_L001_sorted.bam	RAM-uhg4-208wt-M-1_S3_L001_sorted.bam	RAM-uhg4-208F-M-1_S11_L001_sorted.bam	RAM-uhg4-208A-M-1_S7_L001_sorted.bam	RAM-uhg4-208G-M-1_S15_L001_sorted.bam	RAM-uhg4-208A-M-2_S8_L001_sorted.bam	RAM-uhg4-208wt-F-1_S1_L001_sorted.bam	RAM-uhg4-208F-M-2_S12_L001_sorted.bam	RAM-uhg4-208F-F-1_S9_L001_sorted.bam	RAM-uhg4-208wt-M-2_S4_L001_sorted.bam	RAM-uhg4-208G-F-2_S14_L001_sorted.bam	RAM-uhg4-208A-F-2_S6_L001_sorted.bam	RAM-uhg4-208G-F-1_S13_L001_sorted.bam	RAM-uhg4-208F-F-2_S10_L001_sorted.bam
XLOC_003093	238	10	15	8	16	7	36	11	38	34	13	28	8	9	20	2	19
XLOC_003094	428	26	23	24	34	22	22	10	35	23	16	42	10	41	41	5	36
XLOC_003095	348	20	38	31	37	9	44	35	33	52	28	39	23	53	54	5	51
XLOC_003097	5804	1216	406	224	1020	784	1036	1362	1016	1121	628	946	1074	1165	810	761	1552
XLOC_000005	253	21	24	20	35	15	84	12	47	37	11	26	27	36	46	5	33
XLOC_000006	386	20	4	4	6	7	8	22	17	22	13	14	25	9	18	8	21
XLOC_000007	665	798	117	97	214	280	129	832	248	568	79	257	786	954	322	689	847
XLOC_003104	914	425	479	360	1034	521	1056	475	1055	760	484	866	414	723	772	149	989
XLOC_003105	1983	297	274	198	513	272	664	422	686	445	272	491	225	482	404	130	586
XLOC_003106	2089	487	199	176	563	298	622	458	579	544	307	450	387	502	397	211	562
XLOC_000011	126	12	10	9	37	17	64	29	35	38	17	16	21	26	59	8	41
XLOC_003109	1406	87	40	41	79	47	136	61	112	59	53	105	54	96	116	33	125
XLOC_003110	483	41	23	27	80	29	71	44	68	53	49	71	39	59	75	19	67
XLOC_003111	1615	493	121	77	226	216	229	496	239	471	121	230	452	521	274	360	525
XLOC_000015	314	6	13	14	25	7	12	15	10	25	17	21	10	23	36	6	35
XLOC_003112	512	47	50	38	92	33	101	46	82	84	51	104	50	100	106	16	108
XLOC_003113	452	59	46	49	117	84	166	87	115	87	46	96	78	145	109	43	113
XLOC_003114	1559	369	211	154	346	217	388	308	321	359	174	356	266	421	280	209	505
XLOC_000020	1095	68	31	30	59	51	58	75	126	74	65	75	30	32	90	18	103
XLOC_000021	2539	226	51	58	62	104	134	268	196	172	102	126	165	235	163	146	275
XLOC_003117	282	0	4	7	15	7	23	11	6	2	14	6	8	5	2	3	11
XLOC_003120	736	144	23	21	73	86	50	182	75	114	27	82	215	183	62	157	202
XLOC_003121	734	15	16	10	39	20	23	31	40	37	15	21	19	19	19	2	45
XLOC_000025	498	41	30	33	87	46	118	46	89	74	40	81	29	78	63	20	72
XLOC_000026	613	11	4	1	9	3	4	9	17	8	6	10	8	21	9	5	17
XLOC_003123	1483	35	7	5	11	15	32	55	32	29	7	30	21	39	27	17	67
XLOC_000027	686	19	5	0	9	3	12	8	0	9	5	3	15	15	2	5	32
XLOC_003124	810	42	8	3	6	19	19	86	15	54	6	10	52	80	18	52	50
XLOC_003125	1102	193	20	8	25	88	20	320	47	91	35	49	232	200	81	199	237
XLOC_003126	197	18	0	0	6	2	13	10	6	3	1	4	2	3	0	2	23
XLOC_000029	685	20	6	3	13	10	8	37	6	17	13	23	14	11	5	9	12
XLOC_000030	500	21	3	1	6	6	20	50	10	13	13	9	9	23	9	13	46
XLOC_003127	1772	1993	139	36	281	697	110	2085	254	1396	144	289	1545	1959	384	1488	1783
XLOC_003128	440	895	39	3	105	300	18	977	63	714	39	157	876	974	154	711	826
XLOC_003133	1174	81	29	26	85	63	69	130	73	123	44	66	139	93	62	53	107
XLOC_003134	725	24	19	7	46	25	37	26	51	35	24	32	25	28	20	11	29
XLOC_000038	476	26	27	7	14	18	29	19	20	19	14	39	9	18	35	14	25
XLOC_000042	761	68	5	1	0	8	13	73	16	33	7	10	7	41	8	24	59
XLOC_003137	910	6	3	4	6	6	23	14	25	18	3	9	7	15	10	7	13
XLOC_000043	1834	279	22	15	61	97	19	385	53	172	36	86	294	352	58	287	297
XLOC_000044	2095	955	43	7	111	295	58	955	185	610	49	132	742	828	152	654	732
XLOC_003139	726	34	9	2	8	24	22	31	25	29	23	13	25	21	20	12	23
XLOC_000045	1163	231	25	2	31	80	44	256	59	122	48	46	178	198	71	197	203
XLOC_000046	929	102	13	6	31	58	38	181	59	109	25	18	103	101	34	71	109
XLOC_003140	666	320	20	3	35	95	39	262	31	229	15	33	279	276	86	243	215
XLOC_000049	1033	56	9	1	20	34	38	103	55	58	20	8	73	50	15	64	79
XLOC_003142	561	23	2	2	12	12	29	17	31	20	10	6	12	15	5	9	16
XLOC_000052	881	312	12	2	45	121	36	333	41	273	21	42	263	311	95	243	224
XLOC_000053	701	209	26	5	26	65	51	205	80	69	36	63	108	156	56	118	165
XLOC_003146	1231	227	93	73	126	150	207	225	194	198	88	267	142	190	118	120	356
XLOC_000054	313	34	32	28	74	26	60	28	42	52	29	37	24	35	28	7	45
XLOC_003147	366	4	5	1	11	5	14	7	19	4	7	7	5	6	13	5	15
XLOC_000055	1260	218	17	8	30	87	23	296	43	125	27	76	132	249	46	135	204
XLOC_000056	569	421	24	4	54	144	37	499	82	233	25	53	408	454	100	397	376
XLOC_000057	1117	74	14	2	19	33	30	121	36	44	22	18	65	51	32	72	67
XLOC_000058	610	144	13	2	29	47	46	177	41	56	19	42	121	176	29	139	194
XLOC_003148	2314	1331	174	98	632	614	490	1483	405	864	248	390	1205	1463	510	951	1238
