Channel,Line,Sex,Rep,Light_cycle,bout_length,Line_pooled
adj_Monitor18_ch1,208A,F,2,LD,28.81318681,mutant
adj_Monitor18_ch10,208A,F,2,LD,20.38983051,mutant
adj_Monitor18_ch11,208A,F,2,LD,21.95876289,mutant
adj_Monitor18_ch12,208A,F,2,LD,28.68539326,mutant
adj_Monitor18_ch13,208A,F,2,LD,22.62650602,mutant
adj_Monitor18_ch14,208A,F,2,LD,28.33695652,mutant
adj_Monitor18_ch15,208A,F,2,LD,24.58163265,mutant
adj_Monitor18_ch16,208A,F,2,LD,17.76271186,mutant
adj_Monitor18_ch17,208A,F,2,LD,31.84415584,mutant
adj_Monitor18_ch18,208A,F,2,LD,21.97278912,mutant
adj_Monitor18_ch19,208A,F,2,LD,30.49450549,mutant
adj_Monitor18_ch2,208A,F,2,LD,18.18181818,mutant
adj_Monitor18_ch20,208A,F,2,LD,45.52702703,mutant
adj_Monitor18_ch21,208A,F,2,LD,19.80263158,mutant
adj_Monitor18_ch22,208A,F,2,LD,23.24637681,mutant
adj_Monitor18_ch23,208A,F,2,LD,19.25,mutant
adj_Monitor18_ch24,208A,F,2,LD,25.97701149,mutant
adj_Monitor18_ch25,208A,F,2,LD,18.45081967,mutant
adj_Monitor18_ch26,208A,F,2,LD,21.34693878,mutant
adj_Monitor18_ch27,208A,F,2,LD,16.84761905,mutant
adj_Monitor18_ch28,208A,F,2,LD,36.85365854,mutant
adj_Monitor18_ch29,208A,F,2,LD,24.08433735,mutant
adj_Monitor18_ch3,208A,F,2,LD,23.3373494,mutant
adj_Monitor18_ch30,208A,F,2,LD,18.68292683,mutant
adj_Monitor18_ch31,208A,F,2,LD,16.25641026,mutant
adj_Monitor18_ch32,208A,F,2,LD,29.74157303,mutant
adj_Monitor18_ch4,208A,F,2,LD,21.36781609,mutant
adj_Monitor18_ch5,208A,F,2,LD,16.49438202,mutant
adj_Monitor18_ch6,208A,F,2,LD,31.97297297,mutant
adj_Monitor18_ch7,208A,F,2,LD,42.01724138,mutant
adj_Monitor18_ch8,208A,F,2,LD,23.85321101,mutant
adj_Monitor18_ch9,208A,F,2,LD,29.43529412,mutant
adj_Monitor2_ch1,208A,M,2,LD,17.50757576,mutant
adj_Monitor2_ch10,208A,M,2,LD,13.41121495,mutant
adj_Monitor2_ch11,208A,M,2,LD,14.47727273,mutant
adj_Monitor2_ch12,208A,M,2,LD,14.74666667,mutant
adj_Monitor2_ch13,208A,M,2,LD,18.12676056,mutant
adj_Monitor2_ch14,208A,M,2,LD,10.62857143,mutant
adj_Monitor2_ch15,208A,M,2,LD,18.10843373,mutant
adj_Monitor2_ch16,208A,M,2,LD,17.24489796,mutant
adj_Monitor2_ch17,208A,M,2,LD,12.65714286,mutant
adj_Monitor2_ch18,208A,M,2,LD,11.41573034,mutant
adj_Monitor2_ch19,208A,M,2,LD,15.92857143,mutant
adj_Monitor2_ch2,208A,M,2,LD,10.93203883,mutant
adj_Monitor2_ch20,208A,M,2,LD,14.30208333,mutant
adj_Monitor2_ch21,208A,M,2,LD,13.3559322,mutant
adj_Monitor2_ch22,208A,M,2,LD,13.72881356,mutant
adj_Monitor2_ch23,208A,M,2,LD,9.929824561,mutant
adj_Monitor2_ch24,208A,M,2,LD,16.38181818,mutant
adj_Monitor2_ch26,208A,M,2,LD,15.18367347,mutant
adj_Monitor2_ch27,208A,M,2,LD,14.58947368,mutant
adj_Monitor2_ch28,208A,M,2,LD,13.25242718,mutant
adj_Monitor2_ch29,208A,M,2,LD,18.48717949,mutant
adj_Monitor2_ch3,208A,M,2,LD,14.13636364,mutant
adj_Monitor2_ch30,208A,M,2,LD,9.051851852,mutant
adj_Monitor2_ch31,208A,M,2,LD,13.90277778,mutant
adj_Monitor2_ch4,208A,M,2,LD,8.629032258,mutant
adj_Monitor2_ch5,208A,M,2,LD,18.96153846,mutant
adj_Monitor2_ch6,208A,M,2,LD,10.6440678,mutant
adj_Monitor2_ch7,208A,M,2,LD,10.81176471,mutant
adj_Monitor2_ch9,208A,M,2,LD,15.11827957,mutant
adj_Monitor56_ch1,208A,F,1,LD,20.2,mutant
adj_Monitor56_ch10,208A,F,1,LD,23.6122449,mutant
adj_Monitor56_ch11,208A,F,1,LD,31.90384615,mutant
adj_Monitor56_ch12,208A,F,1,LD,28.03305785,mutant
adj_Monitor56_ch13,208A,F,1,LD,29.11688312,mutant
adj_Monitor56_ch14,208A,F,1,LD,35.45121951,mutant
adj_Monitor56_ch15,208A,F,1,LD,23.49107143,mutant
adj_Monitor56_ch16,208A,F,1,LD,19.03305785,mutant
adj_Monitor56_ch17,208A,F,1,LD,19.875,mutant
adj_Monitor56_ch19,208A,F,1,LD,30.27659574,mutant
adj_Monitor56_ch2,208A,F,1,LD,23.07446809,mutant
adj_Monitor56_ch20,208A,F,1,LD,41.43333333,mutant
adj_Monitor56_ch21,208A,F,1,LD,178.4,mutant
adj_Monitor56_ch22,208A,F,1,LD,54.78571429,mutant
adj_Monitor56_ch23,208A,F,1,LD,20.58252427,mutant
adj_Monitor56_ch24,208A,F,1,LD,23.64150943,mutant
adj_Monitor56_ch25,208A,F,1,LD,24.31428571,mutant
adj_Monitor56_ch26,208A,F,1,LD,8.732484076,mutant
adj_Monitor56_ch27,208A,F,1,LD,14.41025641,mutant
adj_Monitor56_ch28,208A,F,1,LD,37.92207792,mutant
adj_Monitor56_ch29,208A,F,1,LD,23.51937984,mutant
adj_Monitor56_ch3,208A,F,1,LD,15.72115385,mutant
adj_Monitor56_ch30,208A,F,1,LD,73.3,mutant
adj_Monitor56_ch31,208A,F,1,LD,41.83116883,mutant
adj_Monitor56_ch32,208A,F,1,LD,17.90647482,mutant
adj_Monitor56_ch4,208A,F,1,LD,27.02898551,mutant
adj_Monitor56_ch5,208A,F,1,LD,16.23863636,mutant
adj_Monitor56_ch6,208A,F,1,LD,14.23275862,mutant
adj_Monitor56_ch7,208A,F,1,LD,23.71698113,mutant
adj_Monitor56_ch8,208A,F,1,LD,23.72815534,mutant
adj_Monitor72_ch1,208A,M,1,LD,16.21518987,mutant
adj_Monitor72_ch10,208A,M,1,LD,19.81308411,mutant
adj_Monitor72_ch11,208A,M,1,LD,15.46153846,mutant
adj_Monitor72_ch12,208A,M,1,LD,10.84745763,mutant
adj_Monitor72_ch13,208A,M,1,LD,19.02469136,mutant
adj_Monitor72_ch14,208A,M,1,LD,12.19354839,mutant
adj_Monitor72_ch15,208A,M,1,LD,8.253521127,mutant
adj_Monitor72_ch16,208A,M,1,LD,10.43902439,mutant
adj_Monitor72_ch17,208A,M,1,LD,17.46835443,mutant
adj_Monitor72_ch18,208A,M,1,LD,16.20588235,mutant
adj_Monitor72_ch19,208A,M,1,LD,16.29411765,mutant
adj_Monitor72_ch2,208A,M,1,LD,17.88043478,mutant
adj_Monitor72_ch20,208A,M,1,LD,16.51639344,mutant
adj_Monitor72_ch21,208A,M,1,LD,13.58415842,mutant
adj_Monitor72_ch22,208A,M,1,LD,17.42372881,mutant
adj_Monitor72_ch23,208A,M,1,LD,16.93877551,mutant
adj_Monitor72_ch24,208A,M,1,LD,14.49019608,mutant
adj_Monitor72_ch25,208A,M,1,LD,18.90697674,mutant
adj_Monitor72_ch26,208A,M,1,LD,20.5,mutant
adj_Monitor72_ch27,208A,M,1,LD,16.19148936,mutant
adj_Monitor72_ch28,208A,M,1,LD,18.51351351,mutant
adj_Monitor72_ch29,208A,M,1,LD,16.97826087,mutant
adj_Monitor72_ch3,208A,M,1,LD,18.01098901,mutant
adj_Monitor72_ch30,208A,M,1,LD,14.39583333,mutant
adj_Monitor72_ch31,208A,M,1,LD,15.86486486,mutant
adj_Monitor72_ch32,208A,M,1,LD,11.225,mutant
adj_Monitor72_ch4,208A,M,1,LD,15.76666667,mutant
adj_Monitor72_ch5,208A,M,1,LD,16.71084337,mutant
adj_Monitor72_ch6,208A,M,1,LD,13.04123711,mutant
adj_Monitor72_ch7,208A,M,1,LD,18.19736842,mutant
adj_Monitor72_ch8,208A,M,1,LD,9.915492958,mutant
adj_Monitor72_ch9,208A,M,1,LD,15.88888889,mutant
adj_Monitor1_ch1,208F,M,1,LD,13.98913043,mutant
adj_Monitor1_ch10,208F,M,1,LD,16.10666667,mutant
adj_Monitor1_ch11,208F,M,1,LD,14.99029126,mutant
adj_Monitor1_ch12,208F,M,1,LD,12.5042735,mutant
adj_Monitor1_ch13,208F,M,1,LD,11.64705882,mutant
adj_Monitor1_ch14,208F,M,1,LD,14.20652174,mutant
adj_Monitor1_ch15,208F,M,1,LD,14.13861386,mutant
adj_Monitor1_ch16,208F,M,1,LD,14.60810811,mutant
adj_Monitor1_ch17,208F,M,1,LD,14.08247423,mutant
adj_Monitor1_ch18,208F,M,1,LD,14.025,mutant
adj_Monitor1_ch19,208F,M,1,LD,17.23853211,mutant
adj_Monitor1_ch2,208F,M,1,LD,9.732673267,mutant
adj_Monitor1_ch20,208F,M,1,LD,10.5,mutant
adj_Monitor1_ch21,208F,M,1,LD,12.82795699,mutant
adj_Monitor1_ch22,208F,M,1,LD,14.73873874,mutant
adj_Monitor1_ch23,208F,M,1,LD,11.61386139,mutant
adj_Monitor1_ch24,208F,M,1,LD,20.7962963,mutant
adj_Monitor1_ch26,208F,M,1,LD,17.38043478,mutant
adj_Monitor1_ch27,208F,M,1,LD,16.46808511,mutant
adj_Monitor1_ch28,208F,M,1,LD,16.7254902,mutant
adj_Monitor1_ch29,208F,M,1,LD,24.15686275,mutant
adj_Monitor1_ch3,208F,M,1,LD,11.61971831,mutant
adj_Monitor1_ch30,208F,M,1,LD,14.20253165,mutant
adj_Monitor1_ch31,208F,M,1,LD,13.72357724,mutant
adj_Monitor1_ch32,208F,M,1,LD,12.86440678,mutant
adj_Monitor1_ch4,208F,M,1,LD,12.01941748,mutant
adj_Monitor1_ch5,208F,M,1,LD,13.41237113,mutant
adj_Monitor1_ch6,208F,M,1,LD,12.48648649,mutant
adj_Monitor1_ch7,208F,M,1,LD,10.95,mutant
adj_Monitor1_ch8,208F,M,1,LD,16.7311828,mutant
adj_Monitor1_ch9,208F,M,1,LD,14.97674419,mutant
adj_Monitor55_ch1,208F,F,2,LD,30.85714286,mutant
adj_Monitor55_ch10,208F,F,2,LD,44.79245283,mutant
adj_Monitor55_ch11,208F,F,2,LD,47.62903226,mutant
adj_Monitor55_ch12,208F,F,2,LD,36.7173913,mutant
adj_Monitor55_ch13,208F,F,2,LD,24.22727273,mutant
adj_Monitor55_ch14,208F,F,2,LD,17.82474227,mutant
adj_Monitor55_ch16,208F,F,2,LD,21.30894309,mutant
adj_Monitor55_ch17,208F,F,2,LD,13.80985915,mutant
adj_Monitor55_ch18,208F,F,2,LD,35.03448276,mutant
adj_Monitor55_ch19,208F,F,2,LD,22.61290323,mutant
adj_Monitor55_ch2,208F,F,2,LD,42.05454545,mutant
adj_Monitor55_ch20,208F,F,2,LD,58.42553191,mutant
adj_Monitor55_ch21,208F,F,2,LD,23.02941176,mutant
adj_Monitor55_ch22,208F,F,2,LD,29.22368421,mutant
adj_Monitor55_ch23,208F,F,2,LD,28.84946237,mutant
adj_Monitor55_ch24,208F,F,2,LD,31.01428571,mutant
adj_Monitor55_ch25,208F,F,2,LD,37.26470588,mutant
adj_Monitor55_ch26,208F,F,2,LD,35.64893617,mutant
adj_Monitor55_ch27,208F,F,2,LD,16.44378698,mutant
adj_Monitor55_ch28,208F,F,2,LD,16.32173913,mutant
adj_Monitor55_ch29,208F,F,2,LD,27.23232323,mutant
adj_Monitor55_ch3,208F,F,2,LD,34.5,mutant
adj_Monitor55_ch30,208F,F,2,LD,32.18181818,mutant
adj_Monitor55_ch31,208F,F,2,LD,29.70873786,mutant
adj_Monitor55_ch32,208F,F,2,LD,26.74193548,mutant
adj_Monitor55_ch4,208F,F,2,LD,19.36893204,mutant
adj_Monitor55_ch5,208F,F,2,LD,19.11538462,mutant
adj_Monitor55_ch6,208F,F,2,LD,21.98630137,mutant
adj_Monitor55_ch7,208F,F,2,LD,24.46835443,mutant
