Channel,Line,Sex,Rep,Light_cycle,bout_length,Line_pooled
adj_Monitor56_ch16,208A,F,1,LD,12.64835165,mutant
adj_Monitor56_ch22,208A,F,1,LD,10.91525424,mutant
adj_Monitor56_ch26,208A,F,1,LD,9.042857143,mutant
adj_Monitor72_ch27,208A,M,1,LD,10.816,mutant
adj_Monitor18_ch30,208A,F,2,LD,10.80882353,mutant
adj_Monitor2_ch30,208A,M,2,LD,11.35664336,mutant
adj_Monitor56_ch11,208A,F,1,LD,12.65432099,mutant
adj_Monitor56_ch12,208A,F,1,LD,14.2371134,mutant
adj_Monitor18_ch6,208A,F,2,LD,12.30714286,mutant
adj_Monitor56_ch20,208A,F,1,LD,7.549450549,mutant
adj_Monitor2_ch12,208A,M,2,LD,13.09649123,mutant
adj_Monitor72_ch20,208A,M,1,LD,12,mutant
adj_Monitor18_ch1,208A,F,2,LD,18.43877551,mutant
adj_Monitor18_ch10,208A,F,2,LD,11.17241379,mutant
adj_Monitor18_ch11,208A,F,2,LD,10.08571429,mutant
adj_Monitor18_ch12,208A,F,2,LD,11.64285714,mutant
adj_Monitor18_ch13,208A,F,2,LD,8.804123711,mutant
adj_Monitor18_ch14,208A,F,2,LD,11.91666667,mutant
adj_Monitor18_ch15,208A,F,2,LD,14.63636364,mutant
adj_Monitor18_ch16,208A,F,2,LD,9.204918033,mutant
adj_Monitor18_ch17,208A,F,2,LD,14.28571429,mutant
adj_Monitor18_ch18,208A,F,2,LD,14.13333333,mutant
adj_Monitor18_ch19,208A,F,2,LD,18.80519481,mutant
adj_Monitor18_ch2,208A,F,2,LD,10.88333333,mutant
adj_Monitor18_ch20,208A,F,2,LD,16.6637931,mutant
adj_Monitor18_ch21,208A,F,2,LD,10.17592593,mutant
adj_Monitor18_ch22,208A,F,2,LD,8.25,mutant
adj_Monitor18_ch23,208A,F,2,LD,11.85714286,mutant
adj_Monitor18_ch24,208A,F,2,LD,16.24778761,mutant
adj_Monitor18_ch25,208A,F,2,LD,12.25581395,mutant
adj_Monitor18_ch26,208A,F,2,LD,8.609756098,mutant
adj_Monitor18_ch27,208A,F,2,LD,12.75229358,mutant
adj_Monitor18_ch28,208A,F,2,LD,14.95348837,mutant
adj_Monitor18_ch29,208A,F,2,LD,13.7721519,mutant
adj_Monitor18_ch3,208A,F,2,LD,11.49367089,mutant
adj_Monitor18_ch31,208A,F,2,LD,10.3875969,mutant
