Line,Sex,Rep,variable,Light_cycle,Activity,Line_pooled
208A,M,2,adj_Monitor2_ch1,LD,869.3333333,mutant
208A,M,2,adj_Monitor2_ch2,LD,307.1666667,mutant
208A,M,2,adj_Monitor2_ch3,LD,251.5,mutant
208A,M,2,adj_Monitor2_ch4,LD,153.5,mutant
208A,M,2,adj_Monitor2_ch5,LD,813.8333333,mutant
208A,M,2,adj_Monitor2_ch6,LD,297.5,mutant
208A,M,2,adj_Monitor2_ch7,LD,404.1666667,mutant
208A,M,2,adj_Monitor2_ch9,LD,361,mutant
208A,M,2,adj_Monitor2_ch10,LD,484.8333333,mutant
208A,M,2,adj_Monitor2_ch11,LD,470.8333333,mutant
208A,M,2,adj_Monitor2_ch12,LD,491,mutant
208A,M,2,adj_Monitor2_ch13,LD,412.1666667,mutant
208A,M,2,adj_Monitor2_ch14,LD,247,mutant
208A,M,2,adj_Monitor2_ch15,LD,540.1666667,mutant
208A,M,2,adj_Monitor2_ch16,LD,338.3333333,mutant
208A,M,2,adj_Monitor2_ch17,LD,511.3333333,mutant
208A,M,2,adj_Monitor2_ch18,LD,582.8333333,mutant
208A,M,2,adj_Monitor2_ch19,LD,484.6666667,mutant
208A,M,2,adj_Monitor2_ch20,LD,583.1666667,mutant
208A,M,2,adj_Monitor2_ch21,LD,433.5,mutant
208A,M,2,adj_Monitor2_ch22,LD,617,mutant
208A,M,2,adj_Monitor2_ch23,LD,276.1666667,mutant
208A,M,2,adj_Monitor2_ch24,LD,476,mutant
208A,M,2,adj_Monitor2_ch26,LD,531.8333333,mutant
208A,M,2,adj_Monitor2_ch27,LD,767.3333333,mutant
208A,M,2,adj_Monitor2_ch28,LD,425.5,mutant
208A,M,2,adj_Monitor2_ch29,LD,711.3333333,mutant
208A,M,2,adj_Monitor2_ch30,LD,628.6666667,mutant
208A,M,2,adj_Monitor2_ch31,LD,414.6666667,mutant
208A,F,2,adj_Monitor18_ch1,LD,1147.833333,mutant
208A,F,2,adj_Monitor18_ch2,LD,551.3333333,mutant
208A,F,2,adj_Monitor18_ch3,LD,574.1666667,mutant
208A,F,2,adj_Monitor18_ch4,LD,517.6666667,mutant
208A,F,2,adj_Monitor18_ch5,LD,441.8333333,mutant
208A,F,2,adj_Monitor18_ch6,LD,869.3333333,mutant
208A,F,2,adj_Monitor18_ch7,LD,689.6666667,mutant
208A,F,2,adj_Monitor18_ch8,LD,665.8333333,mutant
208A,F,2,adj_Monitor18_ch9,LD,778.6666667,mutant
208A,F,2,adj_Monitor18_ch10,LD,619.8333333,mutant
208A,F,2,adj_Monitor18_ch11,LD,668.8333333,mutant
208A,F,2,adj_Monitor18_ch12,LD,1032,mutant
208A,F,2,adj_Monitor18_ch13,LD,521.6666667,mutant
208A,F,2,adj_Monitor18_ch14,LD,850.1666667,mutant
208A,F,2,adj_Monitor18_ch15,LD,751.8333333,mutant
208A,F,2,adj_Monitor18_ch16,LD,901.6666667,mutant
208A,F,2,adj_Monitor18_ch17,LD,999.5,mutant
208A,F,2,adj_Monitor18_ch18,LD,977.5,mutant
208A,F,2,adj_Monitor18_ch19,LD,1007.333333,mutant
208A,F,2,adj_Monitor18_ch20,LD,1403.5,mutant
208A,F,2,adj_Monitor18_ch21,LD,567.6666667,mutant
208A,F,2,adj_Monitor18_ch22,LD,430,mutant
208A,F,2,adj_Monitor18_ch23,LD,847,mutant
208A,F,2,adj_Monitor18_ch24,LD,966,mutant
208A,F,2,adj_Monitor18_ch25,LD,751.3333333,mutant
208A,F,2,adj_Monitor18_ch26,LD,853.8333333,mutant
208A,F,2,adj_Monitor18_ch27,LD,593.1666667,mutant
208A,F,2,adj_Monitor18_ch28,LD,1009.5,mutant
208A,F,2,adj_Monitor18_ch29,LD,802.3333333,mutant
