X,Channel,Line,Sex,Rep,Light_status,mean_sleep_per_ind,Line_pooled
429,adj_Monitor18_ch1,208A,F,2,Day,0.330324074,mutant
323,adj_Monitor18_ch10,208A,F,2,Day,0.478935185,mutant
315,adj_Monitor18_ch11,208A,F,2,Day,0.485185185,mutant
42,adj_Monitor18_ch12,208A,F,2,Day,0.547916667,mutant
215,adj_Monitor18_ch13,208A,F,2,Day,0.607407407,mutant
10,adj_Monitor18_ch14,208A,F,2,Day,0.353472222,mutant
23,adj_Monitor18_ch15,208A,F,2,Day,0.559953704,mutant
49,adj_Monitor18_ch16,208A,F,2,Day,0.536574074,mutant
247,adj_Monitor18_ch17,208A,F,2,Day,0.416203704,mutant
367,adj_Monitor18_ch18,208A,F,2,Day,0.35787037,mutant
334,adj_Monitor18_ch19,208A,F,2,Day,0.346296296,mutant
156,adj_Monitor18_ch2,208A,F,2,Day,0.531481481,mutant
441,adj_Monitor18_ch20,208A,F,2,Day,0.140972222,mutant
268,adj_Monitor18_ch21,208A,F,2,Day,0.260416667,mutant
52,adj_Monitor18_ch22,208A,F,2,Day,0.681481481,mutant
236,adj_Monitor18_ch23,208A,F,2,Day,0.436805556,mutant
45,adj_Monitor18_ch24,208A,F,2,Day,0.425231481,mutant
81,adj_Monitor18_ch25,208A,F,2,Day,0.488657407,mutant
155,adj_Monitor18_ch26,208A,F,2,Day,0.671064815,mutant
68,adj_Monitor18_ch27,208A,F,2,Day,0.547453704,mutant
463,adj_Monitor18_ch28,208A,F,2,Day,0.272685185,mutant
392,adj_Monitor18_ch29,208A,F,2,Day,0.576388889,mutant
381,adj_Monitor18_ch3,208A,F,2,Day,0.577083333,mutant
423,adj_Monitor18_ch30,208A,F,2,Day,0.375,mutant
454,adj_Monitor18_ch31,208A,F,2,Day,0.584953704,mutant
131,adj_Monitor18_ch32,208A,F,2,Day,0.375462963,mutant
353,adj_Monitor18_ch4,208A,F,2,Day,0.607638889,mutant
337,adj_Monitor18_ch5,208A,F,2,Day,0.69537037,mutant
472,adj_Monitor18_ch6,208A,F,2,Day,0.444444444,mutant
436,adj_Monitor18_ch7,208A,F,2,Day,0.525231481,mutant
422,adj_Monitor18_ch8,208A,F,2,Day,0.361342593,mutant
403,adj_Monitor18_ch9,208A,F,2,Day,0.432175926,mutant
127,adj_Monitor2_ch1,208A,M,2,Day,0.67662037,mutant
206,adj_Monitor2_ch10,208A,M,2,Day,0.752314815,mutant
292,adj_Monitor2_ch11,208A,M,2,Day,0.781018519,mutant
48,adj_Monitor2_ch12,208A,M,2,Day,0.83287037,mutant
36,adj_Monitor2_ch13,208A,M,2,Day,0.818518519,mutant
29,adj_Monitor2_ch14,208A,M,2,Day,0.868055556,mutant
171,adj_Monitor2_ch15,208A,M,2,Day,0.832175926,mutant
37,adj_Monitor2_ch16,208A,M,2,Day,0.909027778,mutant
199,adj_Monitor2_ch17,208A,M,2,Day,0.7375,mutant
22,adj_Monitor2_ch18,208A,M,2,Day,0.834490741,mutant
124,adj_Monitor2_ch19,208A,M,2,Day,0.914814815,mutant
339,adj_Monitor2_ch2,208A,M,2,Day,0.790972222,mutant
92,adj_Monitor2_ch20,208A,M,2,Day,0.771990741,mutant
