X,Channel,Line,Sex,Rep,Light_status,mean_sleep_per_ind,Line_pooled
610,adj_Monitor18_ch1,208A,F,2,Night,0.699026877,mutant
651,adj_Monitor18_ch10,208A,F,2,Night,0.741427247,mutant
557,adj_Monitor18_ch11,208A,F,2,Night,0.866774791,mutant
593,adj_Monitor18_ch12,208A,F,2,Night,0.677710843,mutant
495,adj_Monitor18_ch13,208A,F,2,Night,0.760194625,mutant
876,adj_Monitor18_ch14,208A,F,2,Night,0.62673772,mutant
725,adj_Monitor18_ch15,208A,F,2,Night,0.62557924,mutant
574,adj_Monitor18_ch16,208A,F,2,Night,0.718489342,mutant
497,adj_Monitor18_ch17,208A,F,2,Night,0.658480074,mutant
642,adj_Monitor18_ch18,208A,F,2,Night,0.601714551,mutant
824,adj_Monitor18_ch19,208A,F,2,Night,0.610982391,mutant
892,adj_Monitor18_ch2,208A,F,2,Night,0.857043559,mutant
835,adj_Monitor18_ch20,208A,F,2,Night,0.559777572,mutant
638,adj_Monitor18_ch21,208A,F,2,Night,0.802363299,mutant
927,adj_Monitor18_ch22,208A,F,2,Night,0.863067655,mutant
600,adj_Monitor18_ch23,208A,F,2,Night,0.626274328,mutant
821,adj_Monitor18_ch24,208A,F,2,Night,0.596617238,mutant
520,adj_Monitor18_ch25,208A,F,2,Night,0.75231696,mutant
607,adj_Monitor18_ch26,208A,F,2,Night,0.681881372,mutant
591,adj_Monitor18_ch27,208A,F,2,Night,0.706904541,mutant
613,adj_Monitor18_ch28,208A,F,2,Night,0.792632067,mutant
482,adj_Monitor18_ch29,208A,F,2,Night,0.720806302,mutant
587,adj_Monitor18_ch3,208A,F,2,Night,0.766450417,mutant
521,adj_Monitor18_ch30,208A,F,2,Night,0.575532901,mutant
789,adj_Monitor18_ch31,208A,F,2,Night,0.665430955,mutant
506,adj_Monitor18_ch32,208A,F,2,Night,0.698563485,mutant
932,adj_Monitor18_ch4,208A,F,2,Night,0.781742354,mutant
820,adj_Monitor18_ch5,208A,F,2,Night,0.812326228,mutant
880,adj_Monitor18_ch6,208A,F,2,Night,0.607970343,mutant
851,adj_Monitor18_ch7,208A,F,2,Night,0.752780352,mutant
960,adj_Monitor18_ch8,208A,F,2,Night,0.787534754,mutant
891,adj_Monitor18_ch9,208A,F,2,Night,0.800973123,mutant
549,adj_Monitor2_ch1,208A,M,2,Night,0.540546803,mutant
672,adj_Monitor2_ch10,208A,M,2,Night,0.690917516,mutant
524,adj_Monitor2_ch11,208A,M,2,Night,0.638554217,mutant
596,adj_Monitor2_ch12,208A,M,2,Night,0.564643188,mutant
627,adj_Monitor2_ch13,208A,M,2,Night,0.75463392,mutant
623,adj_Monitor2_ch14,208A,M,2,Night,0.753012048,mutant
490,adj_Monitor2_ch15,208A,M,2,Night,0.723123262,mutant
715,adj_Monitor2_ch16,208A,M,2,Night,0.840593142,mutant
693,adj_Monitor2_ch17,208A,M,2,Night,0.700185357,mutant
772,adj_Monitor2_ch18,208A,M,2,Night,0.711770158,mutant
631,adj_Monitor2_ch19,208A,M,2,Night,0.652687674,mutant
556,adj_Monitor2_ch2,208A,M,2,Night,0.788693234,mutant
655,adj_Monitor2_ch20,208A,M,2,Night,0.650139018,mutant
854,adj_Monitor2_ch21,208A,M,2,Night,0.635310473,mutant
934,adj_Monitor2_ch22,208A,M,2,Night,0.673540315,mutant
489,adj_Monitor2_ch23,208A,M,2,Night,0.679332715,mutant
826,adj_Monitor2_ch24,208A,M,2,Night,0.685588508,mutant
827,adj_Monitor2_ch26,208A,M,2,Night,0.746292864,mutant
916,adj_Monitor2_ch27,208A,M,2,Night,0.610055607,mutant
907,adj_Monitor2_ch28,208A,M,2,Night,0.69416126,mutant
752,adj_Monitor2_ch29,208A,M,2,Night,0.565569972,mutant
787,adj_Monitor2_ch3,208A,M,2,Night,0.782437442,mutant
735,adj_Monitor2_ch30,208A,M,2,Night,0.613531047,mutant
729,adj_Monitor2_ch31,208A,M,2,Night,0.602409639,mutant
940,adj_Monitor2_ch4,208A,M,2,Night,0.820203892,mutant
691,adj_Monitor2_ch5,208A,M,2,Night,0.53197405,mutant
578,adj_Monitor2_ch6,208A,M,2,Night,0.793790547,mutant
689,adj_Monitor2_ch7,208A,M,2,Night,0.763901761,mutant
906,adj_Monitor2_ch9,208A,M,2,Night,0.78081557,mutant
896,adj_Monitor56_ch1,208A,F,1,Night,0.771316033,mutant
885,adj_Monitor56_ch10,208A,F,1,Night,0.760194625,mutant
679,adj_Monitor56_ch11,208A,F,1,Night,0.573911029,mutant
818,adj_Monitor56_ch12,208A,F,1,Night,0.596385542,mutant
619,adj_Monitor56_ch13,208A,F,1,Night,0.687673772,mutant
512,adj_Monitor56_ch14,208A,F,1,Night,0.744439296,mutant
565,adj_Monitor56_ch15,208A,F,1,Night,0.72265987,mutant
814,adj_Monitor56_ch16,208A,F,1,Night,0.691149212,mutant
498,adj_Monitor56_ch17,208A,F,1,Night,0.745597776,mutant
700,adj_Monitor56_ch19,208A,F,1,Night,0.849629286,mutant
742,adj_Monitor56_ch2,208A,F,1,Night,0.781278962,mutant
746,adj_Monitor56_ch20,208A,F,1,Night,0.774791474,mutant
628,adj_Monitor56_ch21,208A,F,1,Night,0.662650602,mutant
768,adj_Monitor56_ch22,208A,F,1,Night,0.724745134,mutant
726,adj_Monitor56_ch23,208A,F,1,Night,0.663809082,mutant
592,adj_Monitor56_ch24,208A,F,1,Night,0.856348471,mutant
499,adj_Monitor56_ch25,208A,F,1,Night,0.870713624,mutant
749,adj_Monitor56_ch26,208A,F,1,Night,0.702734013,mutant
900,adj_Monitor56_ch27,208A,F,1,Night,0.776645042,mutant
737,adj_Monitor56_ch28,208A,F,1,Night,0.476367006,mutant
873,adj_Monitor56_ch29,208A,F,1,Night,0.714318814,mutant
525,adj_Monitor56_ch3,208A,F,1,Night,0.810240964,mutant
774,adj_Monitor56_ch30,208A,F,1,Night,0.605189991,mutant
575,adj_Monitor56_ch31,208A,F,1,Night,0.707831325,mutant
678,adj_Monitor56_ch32,208A,F,1,Night,0.61746988,mutant
493,adj_Monitor56_ch4,208A,F,1,Night,0.831556997,mutant
608,adj_Monitor56_ch5,208A,F,1,Night,0.75,mutant
