Channel,Line,Sex,Rep,Light_cycle,bout_count,Line_pooled
adj_Monitor18_ch1,208A,F,2,LD,11.16666667,mutant
adj_Monitor18_ch10,208A,F,2,LD,10.66666667,mutant
adj_Monitor18_ch11,208A,F,2,LD,9.833333333,mutant
adj_Monitor18_ch12,208A,F,2,LD,9,mutant
adj_Monitor18_ch13,208A,F,2,LD,11.66666667,mutant
adj_Monitor18_ch14,208A,F,2,LD,12.33333333,mutant
adj_Monitor18_ch15,208A,F,2,LD,8.666666667,mutant
adj_Monitor18_ch16,208A,F,2,LD,14.5,mutant
adj_Monitor18_ch17,208A,F,2,LD,12.5,mutant
adj_Monitor18_ch18,208A,F,2,LD,8.666666667,mutant
adj_Monitor18_ch19,208A,F,2,LD,9,mutant
adj_Monitor18_ch2,208A,F,2,LD,9.166666667,mutant
adj_Monitor18_ch20,208A,F,2,LD,13.5,mutant
adj_Monitor18_ch21,208A,F,2,LD,12.5,mutant
adj_Monitor18_ch22,208A,F,2,LD,6,mutant
adj_Monitor18_ch23,208A,F,2,LD,12.16666667,mutant
adj_Monitor18_ch24,208A,F,2,LD,11.5,mutant
adj_Monitor18_ch25,208A,F,2,LD,9.333333333,mutant
adj_Monitor18_ch26,208A,F,2,LD,8.5,mutant
adj_Monitor18_ch27,208A,F,2,LD,12.16666667,mutant
adj_Monitor18_ch28,208A,F,2,LD,10.66666667,mutant
adj_Monitor18_ch29,208A,F,2,LD,10.33333333,mutant
adj_Monitor18_ch3,208A,F,2,LD,10.16666667,mutant
adj_Monitor18_ch30,208A,F,2,LD,14.33333333,mutant
adj_Monitor18_ch31,208A,F,2,LD,13.66666667,mutant
adj_Monitor18_ch32,208A,F,2,LD,15.5,mutant
adj_Monitor18_ch4,208A,F,2,LD,10.5,mutant
adj_Monitor18_ch5,208A,F,2,LD,13,mutant
adj_Monitor18_ch6,208A,F,2,LD,15.33333333,mutant
adj_Monitor18_ch7,208A,F,2,LD,8.666666667,mutant
adj_Monitor18_ch8,208A,F,2,LD,13.66666667,mutant
adj_Monitor18_ch9,208A,F,2,LD,12.16666667,mutant
adj_Monitor2_ch1,208A,M,2,LD,11.66666667,mutant
adj_Monitor2_ch10,208A,M,2,LD,13.33333333,mutant
adj_Monitor2_ch11,208A,M,2,LD,11.66666667,mutant
adj_Monitor2_ch12,208A,M,2,LD,11.83333333,mutant
adj_Monitor2_ch13,208A,M,2,LD,10.66666667,mutant
adj_Monitor2_ch14,208A,M,2,LD,12.66666667,mutant
adj_Monitor2_ch15,208A,M,2,LD,7.833333333,mutant
adj_Monitor2_ch16,208A,M,2,LD,6.333333333,mutant
adj_Monitor2_ch17,208A,M,2,LD,14,mutant
adj_Monitor2_ch18,208A,M,2,LD,10.83333333,mutant
adj_Monitor2_ch19,208A,M,2,LD,11.16666667,mutant
adj_Monitor2_ch2,208A,M,2,LD,11.5,mutant
adj_Monitor2_ch20,208A,M,2,LD,12.66666667,mutant
adj_Monitor2_ch21,208A,M,2,LD,12.66666667,mutant
adj_Monitor2_ch22,208A,M,2,LD,11.83333333,mutant
adj_Monitor2_ch23,208A,M,2,LD,14.83333333,mutant
adj_Monitor2_ch24,208A,M,2,LD,13.33333333,mutant
adj_Monitor2_ch26,208A,M,2,LD,10.16666667,mutant
adj_Monitor2_ch27,208A,M,2,LD,14,mutant
adj_Monitor2_ch28,208A,M,2,LD,11.83333333,mutant
adj_Monitor2_ch29,208A,M,2,LD,9.5,mutant
adj_Monitor2_ch3,208A,M,2,LD,7.833333333,mutant
adj_Monitor2_ch30,208A,M,2,LD,16.5,mutant
adj_Monitor2_ch31,208A,M,2,LD,17.66666667,mutant
adj_Monitor2_ch4,208A,M,2,LD,12.5,mutant
adj_Monitor2_ch5,208A,M,2,LD,7.833333333,mutant
adj_Monitor2_ch6,208A,M,2,LD,10,mutant
adj_Monitor2_ch7,208A,M,2,LD,13.5,mutant
adj_Monitor2_ch9,208A,M,2,LD,5.5,mutant
adj_Monitor56_ch1,208A,F,1,LD,9.833333333,mutant
adj_Monitor56_ch10,208A,F,1,LD,10.16666667,mutant
adj_Monitor56_ch11,208A,F,1,LD,10.66666667,mutant
adj_Monitor56_ch12,208A,F,1,LD,12.33333333,mutant
adj_Monitor56_ch13,208A,F,1,LD,11,mutant
adj_Monitor56_ch14,208A,F,1,LD,9.666666667,mutant
adj_Monitor56_ch15,208A,F,1,LD,12.83333333,mutant
adj_Monitor56_ch16,208A,F,1,LD,10,mutant
adj_Monitor56_ch17,208A,F,1,LD,12.83333333,mutant
adj_Monitor56_ch19,208A,F,1,LD,9.5,mutant
adj_Monitor56_ch2,208A,F,1,LD,12.16666667,mutant
adj_Monitor56_ch20,208A,F,1,LD,11.16666667,mutant
adj_Monitor56_ch21,208A,F,1,LD,5.333333333,mutant
adj_Monitor56_ch22,208A,F,1,LD,9.666666667,mutant
adj_Monitor56_ch23,208A,F,1,LD,13.33333333,mutant
adj_Monitor56_ch24,208A,F,1,LD,11,mutant
adj_Monitor56_ch25,208A,F,1,LD,6.666666667,mutant
adj_Monitor56_ch26,208A,F,1,LD,14.5,mutant
adj_Monitor56_ch27,208A,F,1,LD,12.5,mutant
adj_Monitor56_ch28,208A,F,1,LD,10.83333333,mutant
adj_Monitor56_ch29,208A,F,1,LD,8,mutant
adj_Monitor56_ch3,208A,F,1,LD,9.833333333,mutant
adj_Monitor56_ch30,208A,F,1,LD,12.66666667,mutant
adj_Monitor56_ch31,208A,F,1,LD,9.833333333,mutant
adj_Monitor56_ch32,208A,F,1,LD,11.66666667,mutant
adj_Monitor56_ch4,208A,F,1,LD,7,mutant
adj_Monitor56_ch5,208A,F,1,LD,13.83333333,mutant
adj_Monitor56_ch6,208A,F,1,LD,17.83333333,mutant
adj_Monitor56_ch7,208A,F,1,LD,10.5,mutant
adj_Monitor56_ch8,208A,F,1,LD,13.33333333,mutant
adj_Monitor72_ch1,208A,M,1,LD,9.333333333,mutant
adj_Monitor72_ch10,208A,M,1,LD,11.33333333,mutant
adj_Monitor72_ch11,208A,M,1,LD,13,mutant
adj_Monitor72_ch12,208A,M,1,LD,13.16666667,mutant
adj_Monitor72_ch13,208A,M,1,LD,10.5,mutant
adj_Monitor72_ch14,208A,M,1,LD,10.66666667,mutant
adj_Monitor72_ch15,208A,M,1,LD,18.66666667,mutant
adj_Monitor72_ch16,208A,M,1,LD,14.16666667,mutant
adj_Monitor72_ch17,208A,M,1,LD,13.5,mutant
adj_Monitor72_ch18,208A,M,1,LD,13.66666667,mutant
adj_Monitor72_ch19,208A,M,1,LD,13,mutant
adj_Monitor72_ch2,208A,M,1,LD,13.33333333,mutant
adj_Monitor72_ch20,208A,M,1,LD,11.16666667,mutant
adj_Monitor72_ch21,208A,M,1,LD,12.33333333,mutant
adj_Monitor72_ch22,208A,M,1,LD,13,mutant
adj_Monitor72_ch23,208A,M,1,LD,13.66666667,mutant
adj_Monitor72_ch24,208A,M,1,LD,8.666666667,mutant
adj_Monitor72_ch25,208A,M,1,LD,13.5,mutant
adj_Monitor72_ch26,208A,M,1,LD,10.33333333,mutant
adj_Monitor72_ch27,208A,M,1,LD,16,mutant
adj_Monitor72_ch28,208A,M,1,LD,10.83333333,mutant
adj_Monitor72_ch29,208A,M,1,LD,10.66666667,mutant
adj_Monitor72_ch3,208A,M,1,LD,12.66666667,mutant
adj_Monitor72_ch30,208A,M,1,LD,9.833333333,mutant
adj_Monitor72_ch31,208A,M,1,LD,11.83333333,mutant
adj_Monitor72_ch32,208A,M,1,LD,13.5,mutant
adj_Monitor72_ch4,208A,M,1,LD,9.833333333,mutant
adj_Monitor72_ch5,208A,M,1,LD,12.16666667,mutant
