Channel,Line,Sex,Rep,Light_cycle,bout_length,Line_pooled
adj_Monitor18_ch1,208A,F,2,LD,24.08928571,mutant
adj_Monitor18_ch10,208A,F,2,LD,24.71604938,mutant
adj_Monitor18_ch11,208A,F,2,LD,30.60606061,mutant
adj_Monitor18_ch12,208A,F,2,LD,31.77272727,mutant
adj_Monitor18_ch13,208A,F,2,LD,40.4375,mutant
adj_Monitor18_ch14,208A,F,2,LD,26.98148148,mutant
adj_Monitor18_ch15,208A,F,2,LD,33.82089552,mutant
adj_Monitor18_ch16,208A,F,2,LD,29.70666667,mutant
adj_Monitor18_ch17,208A,F,2,LD,31.30357143,mutant
adj_Monitor18_ch18,208A,F,2,LD,20.15942029,mutant
adj_Monitor18_ch19,208A,F,2,LD,24.37288136,mutant
adj_Monitor18_ch2,208A,F,2,LD,29.28947368,mutant
adj_Monitor18_ch20,208A,F,2,LD,15.90909091,mutant
adj_Monitor18_ch21,208A,F,2,LD,15.89830508,mutant
adj_Monitor18_ch22,208A,F,2,LD,51.49090909,mutant
adj_Monitor18_ch23,208A,F,2,LD,21.59756098,mutant
adj_Monitor18_ch24,208A,F,2,LD,28.64516129,mutant
adj_Monitor18_ch25,208A,F,2,LD,24.81481481,mutant
adj_Monitor18_ch26,208A,F,2,LD,37.86666667,mutant
adj_Monitor18_ch27,208A,F,2,LD,29.5,mutant
adj_Monitor18_ch28,208A,F,2,LD,20.43636364,mutant
adj_Monitor18_ch29,208A,F,2,LD,42.68421053,mutant
adj_Monitor18_ch3,208A,F,2,LD,35.37681159,mutant
adj_Monitor18_ch30,208A,F,2,LD,15.46808511,mutant
adj_Monitor18_ch31,208A,F,2,LD,28.85882353,mutant
adj_Monitor18_ch32,208A,F,2,LD,26.84482759,mutant
adj_Monitor18_ch5,208A,F,2,LD,39.13157895,mutant
adj_Monitor18_ch6,208A,F,2,LD,32.87719298,mutant
adj_Monitor18_ch7,208A,F,2,LD,54.65,mutant
adj_Monitor18_ch8,208A,F,2,LD,22.53846154,mutant
adj_Monitor18_ch9,208A,F,2,LD,31.21052632,mutant
adj_Monitor2_ch1,208A,M,2,LD,31.82022472,mutant
adj_Monitor2_ch10,208A,M,2,LD,36.64705882,mutant
adj_Monitor2_ch11,208A,M,2,LD,54.25423729,mutant
adj_Monitor2_ch12,208A,M,2,LD,65.53846154,mutant
adj_Monitor2_ch13,208A,M,2,LD,70.83673469,mutant
adj_Monitor2_ch15,208A,M,2,LD,54.83870968,mutant
adj_Monitor2_ch16,208A,M,2,LD,99.72972973,mutant
adj_Monitor2_ch17,208A,M,2,LD,40.25,mutant
adj_Monitor2_ch18,208A,M,2,LD,48.81428571,mutant
adj_Monitor2_ch19,208A,M,2,LD,82.06666667,mutant
adj_Monitor2_ch2,208A,M,2,LD,43.77922078,mutant
adj_Monitor2_ch20,208A,M,2,LD,48.12121212,mutant
adj_Monitor2_ch21,208A,M,2,LD,75.29787234,mutant
adj_Monitor2_ch22,208A,M,2,LD,78.80851064,mutant
adj_Monitor2_ch23,208A,M,2,LD,81.74468085,mutant
adj_Monitor2_ch24,208A,M,2,LD,82.84782609,mutant
adj_Monitor2_ch26,208A,M,2,LD,42.76623377,mutant
adj_Monitor2_ch27,208A,M,2,LD,44.28571429,mutant
adj_Monitor2_ch28,208A,M,2,LD,40.05,mutant
adj_Monitor2_ch29,208A,M,2,LD,55.03125,mutant
adj_Monitor2_ch3,208A,M,2,LD,70.21568627,mutant
adj_Monitor2_ch30,208A,M,2,LD,31.48453608,mutant
adj_Monitor2_ch31,208A,M,2,LD,70.40816327,mutant
adj_Monitor2_ch4,208A,M,2,LD,79.89583333,mutant
adj_Monitor2_ch5,208A,M,2,LD,57.49152542,mutant
adj_Monitor2_ch6,208A,M,2,LD,84.62222222,mutant
adj_Monitor2_ch7,208A,M,2,LD,53.14516129,mutant
adj_Monitor2_ch9,208A,M,2,LD,46.82352941,mutant
adj_Monitor56_ch1,208A,F,1,LD,30.89189189,mutant
adj_Monitor56_ch10,208A,F,1,LD,31.65714286,mutant
adj_Monitor56_ch11,208A,F,1,LD,30.16071429,mutant
adj_Monitor56_ch12,208A,F,1,LD,19.93220339,mutant
adj_Monitor56_ch13,208A,F,1,LD,43.55102041,mutant
adj_Monitor56_ch14,208A,F,1,LD,31.2962963,mutant
adj_Monitor56_ch15,208A,F,1,LD,23.23076923,mutant
adj_Monitor56_ch16,208A,F,1,LD,26.3625,mutant
adj_Monitor56_ch17,208A,F,1,LD,19.5942029,mutant
adj_Monitor56_ch19,208A,F,1,LD,28.38297872,mutant
adj_Monitor56_ch2,208A,F,1,LD,29.01538462,mutant
adj_Monitor56_ch21,208A,F,1,LD,32.36363636,mutant
adj_Monitor56_ch22,208A,F,1,LD,21.48888889,mutant
adj_Monitor56_ch23,208A,F,1,LD,33.04,mutant
adj_Monitor56_ch24,208A,F,1,LD,22.64,mutant
adj_Monitor56_ch25,208A,F,1,LD,48.81818182,mutant
adj_Monitor56_ch26,208A,F,1,LD,30.67619048,mutant
adj_Monitor56_ch27,208A,F,1,LD,30.03488372,mutant
adj_Monitor56_ch28,208A,F,1,LD,28.70212766,mutant
adj_Monitor56_ch29,208A,F,1,LD,25.07042254,mutant
adj_Monitor56_ch3,208A,F,1,LD,42.09375,mutant
adj_Monitor56_ch30,208A,F,1,LD,21.09090909,mutant
adj_Monitor56_ch31,208A,F,1,LD,20.2,mutant
adj_Monitor56_ch32,208A,F,1,LD,25.41428571,mutant
adj_Monitor56_ch4,208A,F,1,LD,61.13157895,mutant
adj_Monitor56_ch5,208A,F,1,LD,46.625,mutant
adj_Monitor56_ch6,208A,F,1,LD,37.54545455,mutant
adj_Monitor56_ch7,208A,F,1,LD,31.12328767,mutant
adj_Monitor56_ch8,208A,F,1,LD,23.56756757,mutant
adj_Monitor72_ch1,208A,M,1,LD,53.89393939,mutant
adj_Monitor72_ch10,208A,M,1,LD,34.3943662,mutant
adj_Monitor72_ch11,208A,M,1,LD,58.80357143,mutant
adj_Monitor72_ch12,208A,M,1,LD,37.74698795,mutant
adj_Monitor72_ch13,208A,M,1,LD,55.98360656,mutant
adj_Monitor72_ch14,208A,M,1,LD,59.29310345,mutant
adj_Monitor72_ch15,208A,M,1,LD,55.38888889,mutant
adj_Monitor72_ch16,208A,M,1,LD,33.35555556,mutant
adj_Monitor72_ch17,208A,M,1,LD,48.6875,mutant
adj_Monitor72_ch18,208A,M,1,LD,45.47619048,mutant
adj_Monitor72_ch19,208A,M,1,LD,42.78873239,mutant
adj_Monitor72_ch2,208A,M,1,LD,41.46575342,mutant
adj_Monitor72_ch20,208A,M,1,LD,39.30882353,mutant
adj_Monitor72_ch21,208A,M,1,LD,42.61111111,mutant
adj_Monitor72_ch22,208A,M,1,LD,30.13888889,mutant
adj_Monitor72_ch23,208A,M,1,LD,51.65,mutant
adj_Monitor72_ch24,208A,M,1,LD,41.58441558,mutant
adj_Monitor72_ch25,208A,M,1,LD,40.42857143,mutant
adj_Monitor72_ch26,208A,M,1,LD,37.59701493,mutant
adj_Monitor72_ch27,208A,M,1,LD,45.16666667,mutant
adj_Monitor72_ch28,208A,M,1,LD,51.22916667,mutant
adj_Monitor72_ch29,208A,M,1,LD,47.46969697,mutant
