Channel,Line,Sex,Rep,Light_cycle,bout_length,Line_pooled
adj_Monitor18_ch1,208A,F,2,LD,41.62686567,mutant
adj_Monitor18_ch10,208A,F,2,LD,48.546875,mutant
adj_Monitor18_ch11,208A,F,2,LD,62.88135593,mutant
adj_Monitor18_ch12,208A,F,2,LD,47.37037037,mutant
adj_Monitor18_ch13,208A,F,2,LD,45.51428571,mutant
adj_Monitor18_ch14,208A,F,2,LD,34.28378378,mutant
adj_Monitor18_ch15,208A,F,2,LD,51.75,mutant
adj_Monitor18_ch16,208A,F,2,LD,34.31034483,mutant
adj_Monitor18_ch17,208A,F,2,LD,36.24,mutant
adj_Monitor18_ch18,208A,F,2,LD,43.92307692,mutant
adj_Monitor18_ch19,208A,F,2,LD,47.11111111,mutant
adj_Monitor18_ch2,208A,F,2,LD,62.07272727,mutant
adj_Monitor18_ch20,208A,F,2,LD,28.2962963,mutant
adj_Monitor18_ch21,208A,F,2,LD,42.50666667,mutant
adj_Monitor18_ch22,208A,F,2,LD,96.08333333,mutant
adj_Monitor18_ch23,208A,F,2,LD,35.53424658,mutant
adj_Monitor18_ch24,208A,F,2,LD,35.94202899,mutant
adj_Monitor18_ch25,208A,F,2,LD,55.35714286,mutant
adj_Monitor18_ch26,208A,F,2,LD,52.37254902,mutant
adj_Monitor18_ch27,208A,F,2,LD,40.46575342,mutant
adj_Monitor18_ch29,208A,F,2,LD,47.72580645,mutant
adj_Monitor18_ch3,208A,F,2,LD,47.26229508,mutant
adj_Monitor18_ch30,208A,F,2,LD,27.34883721,mutant
adj_Monitor18_ch31,208A,F,2,LD,33.67073171,mutant
adj_Monitor18_ch32,208A,F,2,LD,29.62365591,mutant
adj_Monitor18_ch4,208A,F,2,LD,48.26984127,mutant
adj_Monitor18_ch5,208A,F,2,LD,41.97435897,mutant
adj_Monitor18_ch6,208A,F,2,LD,27.2826087,mutant
adj_Monitor18_ch7,208A,F,2,LD,62.59615385,mutant
adj_Monitor18_ch8,208A,F,2,LD,40.25609756,mutant
adj_Monitor18_ch9,208A,F,2,LD,45.89041096,mutant
adj_Monitor2_ch1,208A,M,2,LD,30.02857143,mutant
adj_Monitor2_ch10,208A,M,2,LD,36.9375,mutant
adj_Monitor2_ch11,208A,M,2,LD,38.81428571,mutant
adj_Monitor2_ch12,208A,M,2,LD,35,mutant
adj_Monitor2_ch13,208A,M,2,LD,49.125,mutant
